title,election_date,estimates,last_updated,poll_count,short_title,slug,state,topic,url
2014 South Carolina Senate: Graham vs. Hutto,2014-11-04,"[{u'first_name': u'Lindsey', u'last_name': u'Graham', u'value': 47.6, u'choice': u'Graham', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 99.9}, {u'first_name': u'Brad', u'last_name': u'Hutto', u'value': 29.4, u'choice': u'Hutto', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 10.0, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:25:34Z,8,2014 South Carolina Senate: Graham vs. Hutto,2014-south-carolina-senate-graham-vs-hutto,SC,2014-senate,http://elections.huffingtonpost.com/pollster/2014-south-carolina-senate-graham-vs-hutto
2014 Oklahoma Senate: Inhofe vs. Silverstein,2014-11-04,"[{u'first_name': u'Jim', u'last_name': u'Inhofe', u'value': 62.2, u'choice': u'Inhofe', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Matt', u'last_name': u'Silverstein', u'value': 24.7, u'choice': u'Silverstein', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 13.1, u'choice': u'Undecided', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:20:35Z,5,2014 Oklahoma Senate: Inhofe vs. Silverstein,2014-oklahoma-senate-inhofe-vs-silverstein,OK,2014-senate,http://elections.huffingtonpost.com/pollster/2014-oklahoma-senate-inhofe-vs-silverstein
2014 New Mexico Senate: Weh vs. Udall,2014-11-04,"[{u'first_name': u'Tom', u'last_name': u'Udall', u'value': 52.0, u'choice': u'Udall', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 99.9}, {u'first_name': u'Allen', u'last_name': u'Weh', u'value': 39.4, u'choice': u'Weh', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 1.0, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-28T22:38:56Z,12,2014 New Mexico Senate,2014-new-mexico-senate-weh-vs-udall,NM,2014-senate,http://elections.huffingtonpost.com/pollster/2014-new-mexico-senate-weh-vs-udall
2014 New Jersey Senate: Bell vs. Booker,2014-11-04,"[{u'first_name': u'Cory', u'last_name': u'Booker', u'value': 53.6, u'choice': u'Booker', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Jeff', u'last_name': u'Bell', u'value': 36.4, u'choice': u'Bell', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 0.9, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:18:37Z,13,2014 New Jersey Senate,2014-new-jersey-senate-bell-vs-booker,NJ,2014-senate,http://elections.huffingtonpost.com/pollster/2014-new-jersey-senate-bell-vs-booker
2014 Idaho Senate: Risch vs. Mitchell,2014-11-04,"[{u'first_name': u'Jim', u'last_name': u'Risch', u'value': 57.7, u'choice': u'Risch', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Nels', u'last_name': u'Mitchell', u'value': 29.2, u'choice': u'Mitchell', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-26T14:58:06Z,6,2014 Idaho Senate,2014-idaho-senate-risch-vs-mitchell,ID,2014-senate,http://elections.huffingtonpost.com/pollster/2014-idaho-senate-risch-vs-mitchell
2014 Tennessee Senate: Alexander vs. Ball,2014-11-04,"[{u'first_name': u'Lamar', u'last_name': u'Alexander', u'value': 55.3, u'choice': u'Alexander', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Gordon', u'last_name': u'Ball', u'value': 32.4, u'choice': u'Ball', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 1.2, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:26:32Z,6,2014 Tennessee Senate,2014-tennessee-senate-alexander-vs-ball,TN,2014-senate,http://elections.huffingtonpost.com/pollster/2014-tennessee-senate-alexander-vs-ball
2014 Wyoming Senate: Enzi vs. Hardy,2014-11-04,"[{u'first_name': u'Mike', u'last_name': u'Enzi', u'value': 68.4, u'choice': u'Enzi', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Charlie', u'last_name': u'Hardy', u'value': 26.0, u'choice': u'Hardy', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-26T15:00:29Z,5,2014 Wyoming Senate,2014-wyoming-senate,WY,2014-senate,http://elections.huffingtonpost.com/pollster/2014-wyoming-senate
2014 Hawaii Senate: Cavasso vs. Schatz,2014-11-04,"[{u'first_name': u'Brian', u'last_name': u'Schatz', u'value': 69.0, u'choice': u'Schatz', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Campbell', u'last_name': u'Cavasso', u'value': 20.0, u'choice': u'Cavasso', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 1.0, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T14:57:17Z,6,2014 Hawaii Senate,2014-hawaii-senate-cavasso-vs-schatz,HI,2014-senate,http://elections.huffingtonpost.com/pollster/2014-hawaii-senate-cavasso-vs-schatz
2014 Oklahoma Senate: Lankford vs. Johnson,2014-11-04,"[{u'first_name': u'James', u'last_name': u'Lankford', u'value': 62.4, u'choice': u'Lankford', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Connie', u'last_name': u'Johnson', u'value': 28.9, u'choice': u'Johnson', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 8.8, u'choice': u'Undecided', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:20:35Z,5,2014 Oklahoma Senate: Lankford vs. Johnson,2014-oklahoma-senate-lankford-vs-johnson,OK,2014-senate,http://elections.huffingtonpost.com/pollster/2014-oklahoma-senate-lankford-vs-johnson
2014 Montana Senate: Daines vs. Curtis,2014-11-04,"[{u'first_name': u'Steve', u'last_name': u'Daines', u'value': 53.7, u'choice': u'Daines', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Amanda', u'last_name': u'Curtis', u'value': 36.2, u'choice': u'Curtis', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-28T22:47:33Z,7,2014 Montana Senate: Daines vs. Curtis,2014-montana-senate-daines-vs-curtis,MT,2014-senate,http://elections.huffingtonpost.com/pollster/2014-montana-senate-daines-vs-curtis
2014 Rhode Island Senate: Zaccaria vs. Reed,2014-11-04,"[{u'first_name': u'Jack', u'last_name': u'Reed', u'value': 65.7, u'choice': u'Reed', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Mark', u'last_name': u'Zaccaria', u'value': 21.7, u'choice': u'Zaccaria', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 12.6, u'choice': u'Undecided', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:24:13Z,4,2014 Rhode Island Senate: Zaccaria vs. Reed,2014-rhode-island-senate-zaccaria-vs-reed,RI,2014-senate,http://elections.huffingtonpost.com/pollster/2014-rhode-island-senate-zaccaria-vs-reed
2014 Massachusetts Senate: Herr vs. Markey,2014-11-04,"[{u'first_name': u'Ed', u'last_name': u'Markey', u'value': 53.8, u'choice': u'Markey', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Brian', u'last_name': u'Herr', u'value': 30.9, u'choice': u'Herr', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 0.6000000000000001, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-28T19:16:55Z,10,2014 Massachusetts Senate: Herr vs. Markey,2014-massachusetts-senate-herr-vs-markey,MA,2014-senate,http://elections.huffingtonpost.com/pollster/2014-massachusetts-senate-herr-vs-markey
2014 Delaware Senate: Wade vs. Coons,2014-11-04,"[{u'first_name': u'Chris', u'last_name': u'Coons', u'value': 55.6, u'choice': u'Coons', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 99.9}, {u'first_name': u'Kevin', u'last_name': u'Wade', u'value': 34.3, u'choice': u'Wade', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 10.1, u'choice': u'Undecided', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T14:52:36Z,5,2014 Delaware Senate: Wade vs. Coons,2014-delaware-senate-wade-vs-coons,DE,2014-senate,http://elections.huffingtonpost.com/pollster/2014-delaware-senate-wade-vs-coons
